degree,Cluster Subject 1,Cluster Subject 2,Cluster Subject 3,Cluster Subject 4,Subject 1 Requirement,Subject 2 Requirement,Institution,Programme,id,course_id,program_code,institution_name,2015,2016,2017,2018,2019,2020,2021
BACHELOR OF SCIENCE IN AGRICULTURE,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN AGRICULTURE,255,22,1117122,PWANI UNIVERSITY,25.522,22.793,,30.06,26.472,16.791,17.459
BACHELOR OF SCIENCE IN AGRICULTURE,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN AGRICULTURE,256,22,1181122,"UNIVERSITY OF EASTERN AFRICA, BARATON",28.742,25.516,,,26.445,16.791,17.459
BACHELOR OF SCIENCE IN AGRICULTURE,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN AGRICULTURE,257,22,1249122,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,34.328,28.603,28.884,23.983,24.875,23.089,27.265
BACHELOR OF SCIENCE IN AGRICULTURE,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN AGRICULTURE,258,22,1685122,THARAKA UNIVERSITY COLLEGE,,,,,,16.791,17.459
BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY),BIO,CHE,MAT A,ENG,CHE: C+,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY),269,24,1057124,EGERTON UNIVERSITY,37.8,34.121,30.968,26.588,29.9,28.732,17.459
BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY),BIO,CHE,MAT A,ENG,CHE: C+,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY),270,24,1105124,CHUKA UNIVERSITY,34.398,24.507,27.397,25.537,28.213,16.791,17.459
BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY),BIO,CHE,MAT A,ENG,CHE: C+,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY),271,24,1246124,MURANGA UNIVERSITY OF TECHNOLOGY,,,,30.763,,16.791,17.459
BACHELOR OF SCIENCE (WILDLIFE ENTERPRISES & MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (WILDLIFE ENTERPRISE MANAGEMENT),520,42,1057142,EGERTON UNIVERSITY,27.037,22.501,,26.634,25.928,16.791,17.459
BACHELOR OF SCIENCE (FOOD SCIENCE AND TECHNOLOGY),BIO,CHE,MAT A,ENG,CHE: C+,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY),272,24,1082124,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,,,,,28.258,,17.459
BACHELOR OF SCIENCE (FOOD SCIENCE AND TECHNOLOGY),BIO,CHE,MAT A,ENG,CHE: C+,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY),273,24,1240124,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,32.638,25.946,,27.853,30.406,16.791,17.459
BACHELOR OF SCIENCE (FOOD SCIENCE AND TECHNOLOGY),BIO,CHE,MAT A,ENG,CHE: C+,BIO: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY),274,24,1263124,UNIVERSITY OF NAIROBI,40.504,34.625,30.035,30.414,33.694,33.074,30.539
BACHELOR OF SCIENCE (WILDLIFE ENTERPRISE MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (WILDLIFE ENTERPRISE MANAGEMENT),519,42,1105142,CHUKA UNIVERSITY,23.0,22.464,32.032,25.331,27.287,16.791,17.459
BACHELOR OF SCIENCE (WILDLIFE MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (WILDLIFE ENTERPRISE MANAGEMENT),521,43,1114143,UNIVERSITY OF ELDORET,23.0,21.973,,,30.755,16.791,17.459
BACHELOR OF SCIENCE (WILDLIFE MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (WILDLIFE ENTERPRISE MANAGEMENT),522,43,1165143,MAASAI MARA UNIVERSITY,23.0,21.657,28.84,26.128,28.865,16.791,17.459
BACHELOR OF SCIENCE (WILDLIFE MANAGEMENT AND CONSERVATION),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (WILDLIFE ENTERPRISE MANAGEMENT),523,43,1263143,UNIVERSITY OF NAIROBI,33.549,25.651,28.771,26.053,25.216,16.791,17.459
BACHELOR OF SCIENCE (AGROFORESTRY & RURAL DEVELOPMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (AGROFORESTRY & RURAL DEVELOPMENT),712,73,1114175,UNIVERSITY OF ELDORET,23.0,24.342,,,,,17.459
BACHELOR OF SCIENCE (AGROFORESTRY & RURAL DEVELOPMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (AGROFORESTRY & RURAL DEVELOPMENT),713,73,1118175,UNIVERSITY OF KABIANGA,23.0,27.232,,,,16.791,17.459
BACHELOR OF SCIENCE (HORTICULTURE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE),765,82,1057185,EGERTON UNIVERSITY,33.082,23.492,26.853,25.119,26.874,16.791,17.459
BACHELOR OF SCIENCE (HORTICULTURE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE),766,82,1073185,RONGO UNIVERSITY,23.0,20.739,,24.5,23.572,16.791,17.459
BACHELOR OF SCIENCE (HORTICULTURE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE),767,82,1087185,KISII UNIVERSITY,,,,,24.599,16.791,17.459
BACHELOR OF SCIENCE (HORTICULTURE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE),768,82,1091185,TAITA TAVETA UNIVERSITY,23.0,24.139,,25.042,25.153,16.791,17.459
BACHELOR OF SCIENCE (HORTICULTURE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE),769,82,1093185,UNIVERSITY OF EMBU,23.0,22.167,,,,16.791,17.459
BACHELOR OF SCIENCE (HORTICULTURE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE),770,82,1105185,CHUKA UNIVERSITY,23.0,21.003,25.86,25.323,30.616,16.791,17.459
BACHELOR OF SCIENCE (HORTICULTURE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE),771,82,1114185,UNIVERSITY OF ELDORET,23.0,23.986,,,,,17.459
BACHELOR OF SCIENCE (HORTICULTURE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE),772,82,1118185,UNIVERSITY OF KABIANGA,23.0,22.496,,,25.768,16.791,17.459
BACHELOR OF SCIENCE (HORTICULTURE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE),773,82,1166185,SOUTH EASTERN KENYA UNIVERSITY,23.0,21.208,,,,,
BACHELOR OF SCIENCE (HORTICULTURE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE),774,82,1263185,UNIVERSITY OF NAIROBI,35.131,22.117,,24.686,24.955,16.791,
BACHELOR OF SCIENCE HORTICULTURE,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE),775,82,1240185,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,23.0,22.52,,24.378,27.75,16.791,17.459
BACHELOR OF SCIENCE HORTICULTURE,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE),776,82,1249185,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,34.045,26.411,25.278,24.163,24.844,16.791,17.459
BACHELOR OF SCIENCE (HORTICULTURAL SCIENCE & MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE),762,82,1117185,PWANI UNIVERSITY,23.0,21.735,,29.016,24.964,16.791,
"BACHELOR OF SCIENCE (HORTICULTURE, WITH IT)",BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE),763,82,1229185,MASENO UNIVERSITY,29.664,21.325,29.994,27.187,27.921,16.791,17.459
"BACHELOR OF SCIENCE (HORTICULTURE, WITH IT)",BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE),764,82,1515185,TOM MBOYA UNIVERSITY COLLEGE,23.0,24.526,,25.359,24.648,16.791,17.459
BACHELOR OF SCIENCE IN MANAGEMENT OF AGRI. ECOSYSTEMS,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,761,81,1166184,SOUTH EASTERN KENYA UNIVERSITY,,,,,,16.791,
BACHELOR OF SCIENCE IN HORTICULTURAL SCIENCE & MANAGEMENT,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE),777,82,1244185,KARATINA UNIVERSITY,23.0,22.24,,36.706,30.134,16.791,17.459
BACHELOR OF SCIENCE(HORTICULTURE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (HORTICULTURE),778,82,1053185,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,23.0,22.874,,,27.425,16.791,17.459
BACHELOR OF SCIENCE IN SOIL ENVIRONMENT & LAND USE MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,2159,519,1057B65,EGERTON UNIVERSITY,28.732,21.817,,30.854,27.546,16.791,17.459
BACHELOR OF SCIENCE (MANAGEMENT OF AGRO-ECOSYSTEM AND ENVIRONMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,759,81,1093184,UNIVERSITY OF EMBU,23.0,23.837,,,,16.791,17.459
BACHELOR OF SCIENCE (MANAGEMENT OF AGRO-ECOSYSTEM AND ENVIRONMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,760,81,1263184,UNIVERSITY OF NAIROBI,28.536,22.885,33.416,27.211,29.109,16.791,
BACHELOR OF SCIENCE (FOOD SCIENCE & NUTRITION),BIO,CHE,MAT A,ENG,CHE: C+,BIO: C+,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE (FOOD SCIENCE AND NUTRITION),831,88,1114191,UNIVERSITY OF ELDORET,35.451,27.495,,,30.072,16.791,17.459
"BACHELOR OF SCIENCE (NUTRITION AND DIETETICS, WITH IT)",BIO,CHE,MAT A,ENG,CHE: C,BIO: C,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS,826,87,1229190,MASENO UNIVERSITY,38.033,31.547,35.982,28.754,23.716,25.284,17.459
"BACHELOR OF SCIENCE (NUTRITION AND DIETETICS, WITH IT)",BIO,CHE,MAT A,ENG,CHE: C,BIO: C,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS,827,87,1515190,TOM MBOYA UNIVERSITY COLLEGE,,37.043,,27.188,24.845,16.791,17.459
BACHELOR OF SCIENCE (FOOD SCIENCE AND NUTRITION),BIO,CHE,MAT A,ENG,CHE: C+,BIO: C+,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE (FOOD SCIENCE AND NUTRITION),832,88,1249191,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,,,36.344,29.071,27.038,16.791,17.459
BACHELOR OF SCIENCE (FOOD SCIENCE AND NUTRITION),BIO,CHE,MAT A,ENG,CHE: C+,BIO: C+,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE (FOOD SCIENCE AND NUTRITION),1177,158,1240191,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,28.99,28.534,16.791,17.459
BACHELOR OF SCIENCE (FOOD SCIENCE AND NUTRITION),BIO,CHE,MAT A,ENG,CHE: C+,BIO: C+,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE (FOOD SCIENCE AND NUTRITION),1178,158,1249274,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,40.195,33.329,,,,,
BACHELOR OF SCIENCE (FOOD NUTRITION & DIETETICS),BIO,CHE,MAT A,ENG,CHE: C,BIO: C,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS,821,87,1057190,EGERTON UNIVERSITY,39.186,28.362,29.067,25.674,28.479,29.942,17.459
BACHELOR OF SCIENCE (FOOD NUTRITION & DIETETICS),BIO,CHE,MAT A,ENG,CHE: C,BIO: C,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS,822,87,1117190,PWANI UNIVERSITY,,,,32.001,25.314,16.791,17.459
BACHELOR OF SCIENCE IN FOOD SCIENCE AND NUTRITION,BIO,CHE,MAT A,ENG,CHE: C+,BIO: C+,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE (FOOD SCIENCE AND NUTRITION),833,88,1244191,KARATINA UNIVERSITY,34.067,30.946,,29.093,28.343,16.791,17.459
BACHELOR OF SCIENCE IN FOOD NUTRITION AND DIETETICS,BIO,CHE,MAT A,ENG,CHE: C,BIO: C,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS,828,87,1087190,KISII UNIVERSITY,32.096,30.346,,28.901,25.878,24.325,17.459
BACHELOR OF SCIENCE IN FOOD NUTRITION AND DIETETICS,BIO,CHE,MAT A,ENG,CHE: C,BIO: C,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS,829,87,1170190,MACHAKOS UNIVERSITY,,,,,,16.791,17.459
BACHELOR OF SCIENCE (FOOD NUTRITION AND DIETETICS),BIO,CHE,MAT A,ENG,CHE: C,BIO: C,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS,823,87,1166190,SOUTH EASTERN KENYA UNIVERSITY,33.679,33.344,,,29.818,16.791,17.459
BACHELOR OF SCIENCE (FOOD NUTRITION AND DIETETICS),BIO,CHE,MAT A,ENG,CHE: C,BIO: C,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS,824,87,1263190,UNIVERSITY OF NAIROBI,41.209,36.042,27.962,31.382,29.05,32.933,33.832
BACHELOR OF SCIENCE (ENVIRONMENTAL CONSERVATION AND NATURAL RESOURCES MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,779,83,1093186,UNIVERSITY OF EMBU,23.0,21.556,,27.456,29.152,16.791,17.459
BACHELOR OF SCIENCE (ENVIRONMENTAL CONSERVATION AND NATURAL RESOURCES MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,780,83,1166186,SOUTH EASTERN KENYA UNIVERSITY,27.795,21.541,,29.837,,16.791,17.459
BACHELOR OF SCIENCE (ENVIRONMENTAL CONSERVATION AND NATURAL RESOURCES MANAGEMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,781,83,1263186,UNIVERSITY OF NAIROBI,36.657,24.194,28.525,26.096,28.647,16.791,17.459
BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS,BIO,CHE,MAT A,ENG,CHE: C,BIO: C,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS,894,99,1173190,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,,31.235,35.187,27.376,32.517,26.656,26.891
BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS,BIO,CHE,MAT A,ENG,CHE: C,BIO: C,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS,895,99,1181202,"UNIVERSITY OF EASTERN AFRICA, BARATON",28.632,,,28.192,25.736,16.791,17.459
BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS,BIO,CHE,MAT A,ENG,CHE: C,BIO: C,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS,896,99,1192202,GREAT LAKES UNIVERSITY OF KISUMU,30.266,,,27.899,,25.459,17.459
BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS,BIO,CHE,MAT A,ENG,CHE: C,BIO: C,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN NUTRITION AND DIETETICS,897,99,1279202,MOUNT KENYA UNIVERSITY,28.742,30.245,,27.313,29.555,25.459,17.459
BACHELOR OF ENVIRONMENTAL SCIENCE,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,917,109,1111213,KENYATTA UNIVERSITY,39.685,33.892,,26.851,25.909,25.154,22.708
BACHELOR OF ENVIRONMENTAL SCIENCE,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,918,109,1117213,PWANI UNIVERSITY,33.541,21.433,,25.787,25.476,16.791,17.459
BACHELOR OF ENVIRONMENTAL SCIENCE,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,919,109,1170228,MACHAKOS UNIVERSITY,23.0,24.61,,,37.994,16.791,17.459
BACHELOR OF ENVIRONMENTAL SCIENCE,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,920,109,1570213,TURKANA UNIVERSITY COLLEGE,,24.69,,24.078,23.701,16.791,17.459
BACHELOR OF SCIENCE IN ENVIRONMENTAL STUDIES,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,936,109,1244213,KARATINA UNIVERSITY,27.811,22.421,,,28.583,16.791,17.459
"BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCE, WITH IT)",BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,922,109,1229213,MASENO UNIVERSITY,35.532,23.745,28.794,26.451,26.434,16.791,17.459
"BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCE, WITH IT)",BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,923,109,1515213,TOM MBOYA UNIVERSITY COLLEGE,,26.767,,23.531,24.097,16.791,17.459
BACHELOR OF ENVIRONMENTAL STUDIES (SCIENCE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,921,109,1114213,UNIVERSITY OF ELDORET,31.97,22.765,,29.381,27.57,16.791,17.459
BACHELOR OF SCIENCE IN ENVIRONMENTAL SCIENCE,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,931,109,1061213,KABARAK UNIVERSITY,25.3,22.369,,35.516,32.928,26.126,17.459
BACHELOR OF SCIENCE IN ENVIRONMENTAL SCIENCE,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,932,109,1087213,KISII UNIVERSITY,32.008,20.971,,,26.096,16.791,17.459
BACHELOR OF SCIENCE IN ENVIRONMENTAL SCIENCE,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,933,109,1249213,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,39.088,33.842,30.44,25.512,25.396,25.848,26.311
BACHELOR OF SCIENCE IN ENVIRONMENTAL SCIENCE,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,934,109,1253229,MOI UNIVERSITY,30.884,25.693,27.317,25.479,27.834,16.791,17.459
BACHELOR OF SCIENCE IN ENVIRONMENTAL SCIENCE,BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,935,109,1279213,MOUNT KENYA UNIVERSITY,,22.735,,27.447,26.546,16.791,17.459
BACHELOR OF SCIENCE(ENVIRONMENTAL STUDIES),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,937,109,1096213,GARISSA UNIVERSITY,,,,23.319,,,
BACHELOR OF SCIENCE(ENVIRONMENTAL STUDIES),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,938,109,1165213,MAASAI MARA UNIVERSITY,,,,,,16.791,
BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,924,109,1073213,RONGO UNIVERSITY,28.99,23.024,,23.846,27.24,16.791,17.459
BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,925,109,1082213,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,25.077,26.101,,26.295,31.909,16.791,17.459
BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,926,109,1093213,UNIVERSITY OF EMBU,,25.494,,,,,
BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,927,109,1105213,CHUKA UNIVERSITY,31.85,21.553,28.345,28.367,28.755,16.791,17.459
BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,928,109,1176213,LAIKIPIA UNIVERSITY,30.496,21.265,,,23.966,16.791,17.459
BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCE),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,929,109,1685213,THARAKA UNIVERSITY COLLEGE,,,,,,16.791,
BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCES),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,930,109,1057213,EGERTON UNIVERSITY,36.35,29.185,29.199,24.599,26.327,16.791,17.459
BACHELOR OF ENVIRONMENTAL STUDIES (COMMUNITY DEVELOPMENT),BIO,CHE,MAT A,ENG,BIO: C+,CHE: C+,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE IN ENVIRONMENTAL RESOURCE MANAGEMENT ,939,109,1170213,MACHAKOS UNIVERSITY,,22.962,,,40.017,16.791,17.459
